Sales Summary 2016 ($),,,,
,,,,
Acct Managers,Qtr 1,Qtr2,Qtr3,Qtr4
Aanya Zhang,"5,187.90","7,627.17","28,867.26",742.53
Charlie Bui,"24,271.31",130.78,116.61,355.15
Connot Betts,854.08,"20,123.65","3,050.18","4,373.98"
Leighton Forrest,815.58,"1,129.69",327.02,"16,169.12"
Mihael Khan,425.78,981.27,596.7,470.74
Natasha Song,"5,080.74","6,259.31","4,265.86","4,956.43"
Nicholas Fernandes,"21,787.86","1,533.62","2,191.42","2,384.04"
Phoebe Gour,"5,117.84","12,156.60",351.06,"15,653.93"
Preston Senome,"1,326.07","1,415.98","2,314.11","2,817.60"
Radhya Staples,0,3.32,"10,373.59",206.16
Samantha Chairs,"2,233.62","2,005.70","1,542.68","4,921.92"
Stevie Bacata,0,91.1,0,0
Tina Carlton,"17,247.36","2,512.24","7,003.82","2,952.73"
Yvette Biti,"2,252.16","1,476.92","3,293.39","7,731.78"
